종목명,GICS,Cluster
삼성전자,IT,7
SK하이닉스,IT,7
한미반도체,IT,7
LG에너지솔루션,소재,1
삼성SDI,IT,7
에코프로머티,소재,1
엘앤에프,산업재,2
SK아이이테크놀로지,소재,1
두산퓨얼셀,산업재,2
삼성바이오로직스,헬스케어,5
셀트리온,헬스케어,5
유한양행,헬스케어,5
SK바이오팜,헬스케어,5
한미약품,헬스케어,5
SK바이오사이언스,헬스케어,5
한미사이언스,헬스케어,5
대웅제약,헬스케어,5
녹십자,헬스케어,5
한올바이오파마,헬스케어,5
대웅,헬스케어,5
종근당,헬스케어,5
녹십자홀딩스,헬스케어,5
현대차,산업재,2
기아,산업재,2
KG모빌리티,산업재,2
한화에어로스페이스,산업재,2
한국항공우주,산업재,2
한화시스템,IT,7
LIG넥스원,산업재,2
한화비전,IT,7
HD현대중공업,산업재,2
한화오션,산업재,2
HD한국조선해양,산업재,2
삼성중공업,산업재,2
HD현대미포,산업재,2
KB금융,금융,6
신한지주,금융,6
하나금융지주,금융,6
우리금융지주,금융,6
기업은행,금융,6
카카오뱅크,금융,6
JB금융지주,금융,6
BNK금융지주,금융,6
iM금융지주,금융,6
NAVER,커뮤니케이션서비스,8
카카오,커뮤니케이션서비스,8
현대모비스,산업재,2
한국타이어앤테크놀로지,자유소비재,3
한온시스템,자유소비재,3
HL만도,자유소비재,3
에스엘,자유소비재,3
한국앤컴퍼니,산업재,2
금호타이어,자유소비재,3
현대위아,산업재,2
세방전지,자유소비재,3
일진하이솔루스,산업재,2
메리츠금융지주,금융,6
미래에셋증권,금융,6
NH투자증권,금융,6
삼성증권,금융,6
한국금융지주,금융,6
키움증권,금융,6
POSCO홀딩스,소재,1
현대제철,소재,1
세아제강지주,소재,1
세아베스틸지주,소재,1
TCC스틸,소재,1
삼성물산,산업재,2
SK스퀘어,산업재,2
LG,산업재,2
두산,산업재,2
CJ,필수소비재,4
한화,소재,1
롯데지주,금융,6
SK네트웍스,산업재,2
두산에너빌리티,산업재,2
현대로템,산업재,2
두산밥캣,산업재,2
두산로보틱스,산업재,2
현대엘리베이터,산업재,2
HD현대인프라코어,산업재,2
크래프톤,커뮤니케이션서비스,8
넷마블,커뮤니케이션서비스,8
엔씨소프트,커뮤니케이션서비스,8
더블유게임즈,IT,7
삼성화재,금융,6
DB손해보험,금융,6
현대해상,금융,6
삼성생명,금융,6
한화생명,금융,6
고려아연,소재,1
풍산,소재,1
삼아알미늄,소재,1
한국전력,유틸리티,9
한전기술,유틸리티,9
한전KPS,산업재,2
HMM,자유소비재,3
팬오션,자유소비재,3
LG화학,소재,1
포스코퓨처엠,소재,1
SKC,소재,1
금호석유화학,소재,1
롯데케미칼,소재,1
한솔케미칼,소재,1
이수스페셜티케미컬,소재,1
코스모신소재,소재,1
OCI홀딩스,소재,1
미원상사,소재,1
롯데정밀화학,소재,1
태광산업,소재,1
코오롱인더,소재,1
HS효성첨단소재,소재,1
SK케미칼,소재,1
DL,IT,7
TKG휴켐스,소재,1
코스모화학,소재,1
대한유화,소재,1
OCI,소재,1
PI첨단소재,소재,1
후성,소재,1
SK이노베이션,금융,6
SK,에너지,0
HD현대,산업재,2
S-Oil,에너지,0
GS,에너지,0
KT&G,필수소비재,4
KT,커뮤니케이션,8
LG전자,자유소비재,3
SK텔레콤,커뮤니케이션,8
LG유플러스,커뮤니케이션,8
하이브,커뮤니케이션,8
HD현대일렉트릭,산업재,2
LS ELECTRIC,산업재,2
효성중공업,산업재,2
LS,산업재,2
대한전선,산업재,2
삼성에스디에스,IT,7
카카오페이,금융,6
포스코DX,IT,7
삼성전기,IT,7
LG이노텍,IT,7
포스코인터내셔널,산업재,2
LX인터내셔널,산업재,2
현대글로비스,산업재,2
CJ대한통운,산업재,2
대한항공,산업재,2
한진칼,금융,6
삼양식품,필수소비재,4
오리온,필수소비재,4
CJ제일제당,필수소비재,4
동서,필수소비재,4
농심,필수소비재,4
오뚜기,필수소비재,4
오리온홀딩스,필수소비재,4
롯데웰푸드,필수소비재,4
대상,필수소비재,4
아모레퍼시픽,필수소비재,4
LG생활건강,필수소비재,4
에이피알,자유소비재,3
코스맥스,필수소비재,4
아모레퍼시픽홀딩스,필수소비재,4
한국콜마,헬스케어,5
코웨이,자유소비재,3
한화솔루션,소재,1
씨에스윈드,산업재,2
삼성카드,금융,6
현대건설,산업재,2
삼성E&A,산업재,2
DL이앤씨,산업재,2
GS건설,산업재,2
대우건설,산업재,2
LG디스플레이,IT,7
한국가스공사,유틸리티,9
강원랜드,자유소비재,3
하나투어,커뮤니케이션,8
GKL,자유소비재,3
F&F,자유소비재,3
미스토홀딩스,자유소비재,3
영원무역,자유소비재,3
영원무역홀딩스,자유소비재,3
효성티앤씨,소재,1
한세실업,자유소비재,3
이마트,필수소비재,4
롯데쇼핑,자유소비재,3
BGF리테일,필수소비재,4
호텔신라,자유소비재,3
신세계,자유소비재,3
현대백화점,자유소비재,3
GS리테일,필수소비재,4
에스원,산업재,2
KCC,소재,1
한일시멘트,소재,1
제일기획,커뮤니케이션,8
하이트진로,필수소비재,4
롯데칠성,필수소비재,4
에스디바이오센서,헬스케어,5
덴티움,헬스케어,5
한샘,필수소비재,4
동원시스템즈,소재,1
율촌화학,소재,1
