종목명,업종코드,Cluster
삼성전자,278,0
SK하이닉스,278,0
한미반도체,278,0
LG에너지솔루션,283,1
삼성SDI,283,1
에코프로머티,283,1
엘앤에프,283,1
SK아이이테크놀로지,283,1
두산퓨얼셀,283,1
삼성바이오로직스,261,2
셀트리온,261,2
유한양행,261,2
SK바이오팜,261,2
한미약품,261,2
SK바이오사이언스,261,2
한미사이언스,261,2
대웅제약,261,2
녹십자,261,2
한올바이오파마,261,2
대웅,261,2
종근당,261,2
녹십자홀딩스,261,2
현대차,273,3
기아,273,3
KG모빌리티,273,3
한화에어로스페이스,284,4
한국항공우주,284,4
한화시스템,284,4
LIG넥스원,284,4
한화비전,284,4
HD현대중공업,291,5
한화오션,291,5
HD한국조선해양,291,5
삼성중공업,291,5
HD현대미포,291,5
KB금융,301,6
신한지주,301,6
하나금융지주,301,6
우리금융지주,301,6
기업은행,301,6
카카오뱅크,301,6
JB금융지주,301,6
BNK금융지주,301,6
iM금융지주,301,6
NAVER,300,7
카카오,300,7
현대모비스,270,8
한국타이어앤테크놀로지,270,8
한온시스템,270,8
HL만도,270,8
에스엘,270,8
한국앤컴퍼니,270,8
금호타이어,270,8
현대위아,270,8
세방전지,270,8
일진하이솔루스,270,8
메리츠금융지주,321,9
미래에셋증권,321,9
NH투자증권,321,9
삼성증권,321,9
한국금융지주,321,9
키움증권,321,9
POSCO홀딩스,304,10
현대제철,304,10
세아제강지주,304,10
세아베스틸지주,304,10
TCC스틸,304,10
삼성물산,276,11
SK스퀘어,276,11
LG,276,11
두산,276,11
CJ,276,11
한화,276,11
롯데지주,276,11
SK네트웍스,276,11
두산에너빌리티,299,12
현대로템,299,12
두산밥캣,299,12
두산로보틱스,299,12
현대엘리베이터,299,12
HD현대인프라코어,299,12
크래프톤,263,13
넷마블,263,13
엔씨소프트,263,13
더블유게임즈,263,13
삼성화재,315,14
DB손해보험,315,14
현대해상,315,14
삼성생명,330,15
한화생명,330,15
고려아연,322,16
풍산,322,16
삼아알미늄,322,16
한국전력,325,17
한전기술,325,17
한전KPS,325,17
HMM,323,18
팬오션,323,18
LG화학,272,19
포스코퓨처엠,272,19
SKC,272,19
금호석유화학,272,19
롯데케미칼,272,19
한솔케미칼,272,19
이수스페셜티케미컬,272,19
코스모신소재,272,19
OCI홀딩스,272,19
미원상사,272,19
롯데정밀화학,272,19
태광산업,272,19
코오롱인더,272,19
HS효성첨단소재,272,19
SK케미칼,272,19
DL,272,19
TKG휴켐스,272,19
코스모화학,272,19
대한유화,272,19
OCI,272,19
PI첨단소재,272,19
후성,272,19
SK이노베이션,313,20
SK,313,20
HD현대,313,20
S-Oil,313,20
GS,313,20
KT&G,275,21
KT,336,22
LG전자,307,23
SK텔레콤,333,24
LG유플러스,333,24
하이브,285,25
HD현대일렉트릭,306,26
LS ELECTRIC,306,26
효성중공업,306,26
LS,306,26
대한전선,306,26
삼성에스디에스,267,27
카카오페이,267,27
포스코DX,267,27
삼성전기,282,28
LG이노텍,282,28
포스코인터내셔널,334,29
LX인터내셔널,334,29
현대글로비스,326,30
CJ대한통운,326,30
대한항공,305,31
한진칼,305,31
삼양식품,268,32
오리온,268,32
CJ제일제당,268,32
동서,268,32
농심,268,32
오뚜기,268,32
오리온홀딩스,268,32
롯데웰푸드,268,32
대상,268,32
아모레퍼시픽,266,33
LG생활건강,266,33
에이피알,266,33
코스맥스,266,33
아모레퍼시픽홀딩스,266,33
한국콜마,266,33
코웨이,298,34
한화솔루션,295,35
씨에스윈드,295,35
삼성카드,337,36
현대건설,279,37
삼성E&A,279,37
DL이앤씨,279,37
GS건설,279,37
대우건설,279,37
LG디스플레이,327,38
한국가스공사,312,39
강원랜드,317,40
하나투어,317,40
GKL,317,40
F&F,274,41
미스토홀딩스,274,41
영원무역,274,41
영원무역홀딩스,274,41
효성티앤씨,274,41
한세실업,274,41
이마트,264,42
롯데쇼핑,264,42
BGF리테일,264,42
호텔신라,264,42
신세계,264,42
현대백화점,264,42
GS리테일,264,42
에스원,324,43
KCC,289,44
한일시멘트,289,44
제일기획,310,45
하이트진로,309,46
롯데칠성,309,46
에스디바이오센서,281,47
덴티움,281,47
한샘,303,48
동원시스템즈,311,49
율촌화학,311,49
